,Date,Open,High,Low,Close
81,2010-05-04,17371.75,17464.82,17101.96,17137.14
82,2010-05-05,17103.95,17121.66,16858.23,17087.96
83,2010-05-06,17080.47,17080.47,16823.0,16987.53
84,2010-05-07,16939.58,16939.58,16684.13,16769.11
85,2010-05-10,16799.49,17356.54,16799.49,17330.55
86,2010-05-11,17336.13,17379.15,17104.45,17141.53
87,2010-05-12,17141.53,17252.52,17028.08,17195.81
88,2010-05-13,17323.63,17389.15,17240.35,17265.87
89,2010-05-14,17267.25,17329.32,16923.65,16994.6
90,2010-05-17,16961.92,16961.92,16551.0,16835.56
91,2010-05-18,16840.59,17000.34,16744.13,16875.76
92,2010-05-19,16802.39,16802.39,16373.32,16408.49
93,2010-05-20,16419.1,16617.8,16419.1,16519.68
94,2010-05-21,16317.94,16486.74,16187.03,16445.61
95,2010-05-24,16494.61,16757.73,16413.03,16469.55
96,2010-05-25,16444.57,16444.57,15960.15,16022.48
97,2010-05-26,16069.78,16410.35,16069.78,16387.84
98,2010-05-27,16410.88,16694.55,16331.1,16666.4
99,2010-05-28,16692.66,16891.17,16692.66,16863.06
100,2010-05-31,16872.17,16971.15,16806.5,16944.63
101,2010-06-01,16942.82,16942.82,16318.39,16572.03
102,2010-06-02,16574.79,16774.15,16571.45,16741.84
103,2010-06-03,16786.28,17072.63,16786.28,17022.33
104,2010-06-04,17036.55,17150.42,16963.92,17117.69
105,2010-06-07,17069.77,17069.77,16686.73,16781.07
106,2010-06-08,16760.6,16895.73,16560.64,16617.1
107,2010-06-09,16621.12,16817.69,16591.26,16657.89
108,2010-06-10,16668.91,16942.6,16668.91,16922.08
109,2010-06-11,16994.07,17131.56,16994.07,17064.95
110,2010-06-14,17118.74,17351.18,17118.74,17338.17
111,2010-06-15,17355.49,17442.5,17249.46,17412.83
112,2010-06-16,17500.3,17530.38,17407.3,17462.87
113,2010-06-17,17490.52,17647.42,17394.9,17616.69
114,2010-06-18,17628.02,17721.99,17525.29,17570.82
115,2010-06-21,17654.81,17919.62,17654.81,17876.55
116,2010-06-22,17868.12,17868.12,17725.63,17749.69
117,2010-06-23,17694.87,17782.41,17629.19,17755.94
118,2010-06-24,17750.51,17845.65,17632.8,17730.24
119,2010-06-25,17705.11,17714.73,17546.73,17574.53
120,2010-06-28,17577.66,17794.8,17571.85,17774.26
121,2010-06-29,17777.95,17777.95,17465.73,17534.09
122,2010-06-30,17476.85,17725.04,17373.78,17700.9
123,2010-07-01,17679.34,17679.34,17455.41,17509.33
124,2010-07-02,17523.47,17598.94,17426.78,17460.95
125,2010-07-05,17473.83,17505.73,17423.74,17441.44
126,2010-07-06,17402.68,17643.14,17395.58,17614.48
127,2010-07-07,17623.66,17623.66,17447.15,17471.03
128,2010-07-08,17536.48,17728.37,17536.48,17651.73
129,2010-07-09,17667.85,17857.58,17667.85,17833.54
130,2010-07-12,17875.97,18010.07,17874.95,17937.2
131,2010-07-13,17908.3,17998.04,17855.85,17985.9
132,2010-07-14,18024.95,18167.22,17897.26,17938.16
133,2010-07-15,17874.71,17978.56,17858.73,17909.46
134,2010-07-16,17911.13,17980.27,17892.16,17955.82
135,2010-07-19,17914.12,18005.07,17856.4,17928.42
136,2010-07-20,17918.43,18040.17,17848.07,17878.14
137,2010-07-21,17873.92,18012.2,17873.92,17977.23
138,2010-07-22,17978.37,18127.9,17879.88,18113.15
139,2010-07-23,18132.29,18237.56,18093.93,18130.98
140,2010-07-26,18056.24,18194.09,17993.88,18020.05
141,2010-07-27,17998.74,18149.56,17998.74,18077.61
142,2010-07-28,18077.85,18137.14,17925.4,17957.37
143,2010-07-29,17961.58,18013.1,17902.84,17992.0
144,2010-07-30,17981.06,18000.35,17838.92,17868.29
145,2010-08-02,17911.31,18104.24,17911.31,18081.21
146,2010-08-03,18149.9,18167.45,18072.38,18114.83
147,2010-08-04,18115.56,18249.46,18093.03,18217.44
148,2010-08-05,18234.85,18295.43,18156.45,18172.83
149,2010-08-06,18165.49,18244.56,18118.19,18143.99
150,2010-08-09,18141.11,18309.25,18139.9,18287.5
151,2010-08-10,18272.28,18293.4,18170.77,18219.99
152,2010-08-11,18177.35,18263.88,18042.89,18070.19
153,2010-08-12,17972.65,18113.62,17914.78,18073.9
154,2010-08-13,18080.29,18260.39,18050.42,18167.03
155,2010-08-16,18169.8,18203.92,17997.46,18050.78
156,2010-08-17,18049.19,18140.15,18026.0,18048.85
157,2010-08-18,18067.67,18286.0,18067.67,18257.12
158,2010-08-19,18276.5,18475.27,18276.5,18454.94
159,2010-08-20,18444.24,18464.14,18360.9,18401.82
160,2010-08-23,18400.33,18454.38,18371.02,18409.35
161,2010-08-24,18407.01,18451.73,18260.71,18311.59
162,2010-08-25,18308.51,18312.43,18156.0,18179.64
163,2010-08-26,18194.78,18261.06,18159.13,18226.35
164,2010-08-27,18205.9,18248.36,17944.16,17998.41
165,2010-08-30,18063.48,18216.5,17960.23,18032.11
166,2010-08-31,18015.66,18015.66,17819.99,17971.12
167,2010-09-01,18027.12,18227.14,18027.12,18205.87
168,2010-09-02,18215.28,18355.84,18215.28,18238.31
169,2010-09-03,18238.08,18316.32,18206.5,18221.43
170,2010-09-06,18124.29,18600.3,18124.29,18560.05
171,2010-09-07,18571.73,18711.2,18571.43,18645.06
172,2010-09-08,18627.67,18721.21,18540.65,18666.71
173,2010-09-09,18669.12,18823.17,18669.12,18799.66
174,2010-09-13,18845.31,19243.44,18845.31,19208.33
175,2010-09-14,19218.13,19487.02,19218.13,19346.96
176,2010-09-15,19343.74,19554.5,19340.99,19502.11
177,2010-09-16,19476.93,19636.66,19383.46,19417.49
178,2010-09-17,19436.71,19639.18,19436.71,19594.75
179,2010-09-20,19445.42,19927.3,19445.42,19906.1
180,2010-09-21,19925.79,20088.96,19860.88,20001.55
181,2010-09-22,20039.43,20105.54,19804.02,19941.72
182,2010-09-23,19944.3,19998.32,19771.63,19861.01
183,2010-09-24,19836.43,20071.75,19833.52,20045.18
184,2010-09-27,20082.26,20267.98,20082.26,20117.38
185,2010-09-28,20114.37,20157.51,19981.96,20104.86
186,2010-09-29,20086.89,20234.05,19923.11,19956.34
187,2010-09-30,19931.49,20114.73,19864.46,20069.12
188,2010-10-01,20094.1,20475.47,20094.1,20445.04
189,2010-10-04,20501.21,20706.74,20437.36,20475.73
190,2010-10-05,20461.98,20560.54,20383.16,20407.71
191,2010-10-06,20448.69,20669.95,20447.05,20543.08
192,2010-10-07,20544.3,20581.29,20272.77,20315.32
193,2010-10-08,20297.58,20409.19,20145.74,20250.26
194,2010-10-11,20291.59,20461.27,20274.95,20339.89
195,2010-10-12,20357.79,20368.4,20107.25,20203.34
196,2010-10-13,20223.45,20703.97,20211.66,20687.88
197,2010-10-14,20700.42,20854.55,20442.82,20497.64
198,2010-10-15,20518.5,20578.45,20090.18,20125.05
199,2010-10-18,20160.55,20229.39,19870.51,20168.89
200,2010-10-19,20298.55,20332.02,19923.96,19983.13
201,2010-10-20,19924.02,20043.82,19822.66,19872.15
202,2010-10-21,19951.34,20293.1,19886.12,20260.58
203,2010-10-22,20334.14,20351.74,20088.67,20165.86
204,2010-10-25,20199.73,20452.3,20199.73,20303.12
205,2010-10-26,20325.44,20344.68,20189.3,20221.39
206,2010-10-27,20220.58,20220.58,19923.71,20005.37
207,2010-10-28,20116.49,20185.46,19869.32,19941.04
208,2010-10-29,19986.32,20080.33,19768.96,20032.34
209,2010-11-01,20272.49,20609.65,20267.1,20355.63
210,2010-11-02,20407.18,20418.35,20281.73,20345.69
211,2010-11-03,20472.86,20538.8,20426.18,20465.74
212,2010-11-04,20605.63,20917.03,20605.63,20893.57
213,2010-11-05,21045.66,21108.64,20961.98,21004.96
214,2010-11-08,21041.97,21075.71,20822.37,20852.38
215,2010-11-09,20851.91,20984.08,20762.81,20932.48
216,2010-11-10,20917.54,20970.91,20849.92,20875.71
217,2010-11-11,20930.45,20937.38,20544.22,20589.09
218,2010-11-12,20529.74,20593.91,20108.4,20156.89
219,2010-11-15,20167.62,20335.51,20046.6,20309.69
220,2010-11-16,20371.73,20380.1,19832.22,19865.14
221,2010-11-18,19997.83,20056.44,19615.51,19930.64
222,2010-11-19,19982.75,19982.75,19504.87,19585.44
223,2010-11-22,19713.84,19989.02,19641.42,19957.59
224,2010-11-23,19841.42,19841.42,19342.69,19691.84
225,2010-11-24,19735.28,19835.57,19375.92,19459.85
226,2010-11-25,19560.25,19628.27,19257.37,19318.16
227,2010-11-26,19391.96,19417.61,18954.82,19136.61
228,2010-11-29,19230.34,19450.09,19167.19,19405.1
229,2010-11-30,19373.23,19610.46,19218.02,19521.25
230,2010-12-01,19529.99,19887.26,19525.15,19850.0
231,2010-12-02,20038.66,20084.25,19917.77,19992.7
232,2010-12-03,20007.89,20067.81,19877.12,19966.93
233,2010-12-06,20038.25,20217.86,19944.71,19981.31
234,2010-12-07,19982.9,20008.36,19824.44,19934.64
235,2010-12-08,19874.3,19875.51,19611.35,19696.48
236,2010-12-09,19746.15,19771.09,19160.87,19242.36
237,2010-12-10,19201.89,19537.4,19074.57,19508.89
238,2010-12-13,19600.28,19710.57,19321.41,19691.78
239,2010-12-14,19746.75,19836.82,19621.41,19799.19
240,2010-12-15,19791.22,19817.61,19571.43,19647.77
241,2010-12-16,19698.58,19897.22,19554.35,19864.85
242,2010-12-20,19770.02,20006.16,19711.12,19888.88
243,2010-12-21,19925.76,20090.84,19925.76,20060.32
244,2010-12-22,20118.82,20151.25,19931.31,20015.8
245,2010-12-23,20038.83,20076.08,19939.3,19982.88
246,2010-12-24,19911.46,20086.42,19880.36,20073.66
247,2010-12-27,20062.6,20190.13,20010.33,20028.93
248,2010-12-28,20056.47,20090.41,19981.76,20025.42
249,2010-12-29,20060.88,20274.2,20054.64,20256.03
250,2010-12-30,20274.12,20410.91,20274.12,20389.07
251,2010-12-31,20412.76,20552.03,20412.76,20509.09
252,2011-01-03,20621.61,20664.8,20531.0,20561.05
253,2011-01-04,20617.38,20651.21,20449.01,20498.72
254,2011-01-05,20509.95,20509.95,20243.95,20301.1
255,2011-01-06,20395.5,20425.85,20107.17,20184.74
256,2011-01-07,20163.85,20210.62,19629.22,19691.81
257,2011-01-10,19714.42,19720.43,19158.43,19224.12
258,2011-01-11,19279.77,19431.56,19003.6,19196.34
259,2011-01-12,19353.34,19574.63,19048.56,19534.1
260,2011-01-13,19492.3,19522.38,19136.27,19182.82
261,2011-01-14,19198.04,19447.82,18811.96,18860.44
262,2011-01-17,18911.43,19018.94,18779.38,18882.25
263,2011-01-18,18983.2,19120.62,18933.47,19092.05
264,2011-01-19,19153.31,19167.06,18898.56,18978.32
265,2011-01-20,18892.43,19100.26,18794.73,19046.54
266,2011-01-21,19007.08,19065.34,18932.4,19007.53
267,2011-01-24,19095.69,19194.46,18998.38,19151.28
268,2011-01-25,19227.42,19340.99,18949.44,18969.45
269,2011-01-27,19086.69,19086.69,18656.05,18684.43
270,2011-01-28,18708.62,18723.12,18235.45,18395.97
271,2011-01-31,18226.21,18395.09,18038.48,18327.76
272,2011-02-01,18425.18,18452.06,17982.17,18022.22
273,2011-02-02,18216.91,18306.0,18042.61,18090.62
274,2011-02-03,18113.73,18466.21,18064.61,18449.31
275,2011-02-04,18450.07,18542.2,17926.98,18008.15
276,2011-02-07,18135.02,18180.94,17977.01,18037.19
277,2011-02-08,18141.51,18141.51,17742.18,17775.7
278,2011-02-09,17723.99,17864.32,17508.35,17592.77
279,2011-02-10,17603.29,17636.88,17362.59,17463.04
280,2011-02-11,17519.13,17752.56,17295.62,17728.61
281,2011-02-14,17940.16,18227.62,17857.12,18202.2
282,2011-02-15,18260.08,18361.66,18050.48,18273.8
283,2011-02-16,18273.06,18358.84,18216.12,18300.9
284,2011-02-17,18345.12,18532.61,18233.79,18506.82
285,2011-02-18,18564.08,18690.97,18159.82,18211.52
286,2011-02-21,18238.54,18457.49,18082.66,18438.31
287,2011-02-22,18390.72,18457.9,18187.33,18296.16
288,2011-02-23,18233.77,18377.48,18150.01,18178.33
289,2011-02-24,18135.12,18135.12,17559.7,17632.41
290,2011-02-25,17775.08,17812.44,17469.97,17700.91
291,2011-02-28,17811.08,18296.53,17718.88,17823.4
292,2011-03-01,17982.28,18478.68,17964.39,18446.5
293,2011-03-03,18318.32,18603.57,18253.62,18489.76
294,2011-03-04,18622.7,18736.97,18448.69,18486.45
295,2011-03-07,18361.65,18361.65,18058.71,18222.67
296,2011-03-08,18277.34,18466.81,18266.62,18439.65
297,2011-03-09,18522.8,18583.3,18303.8,18469.95
298,2011-03-10,18430.84,18430.84,18261.26,18327.98
299,2011-03-11,18248.11,18368.43,18063.29,18174.09
300,2011-03-14,18167.1,18463.84,18155.43,18439.48
301,2011-03-15,18113.79,18326.33,17920.55,18167.64
302,2011-03-16,18263.68,18444.47,18263.68,18358.69
303,2011-03-17,18227.16,18354.27,18104.02,18149.87
304,2011-03-18,18251.18,18259.61,17849.53,17878.81
305,2011-03-21,17984.72,18007.73,17792.17,17839.05
306,2011-03-22,17929.09,18041.38,17878.8,17988.3
307,2011-03-23,17972.04,18218.28,17950.17,18206.16
308,2011-03-24,18286.42,18373.97,18269.32,18350.74
309,2011-03-25,18480.69,18858.3,18480.69,18815.64
310,2011-03-28,18799.71,19024.18,18799.57,18943.14
311,2011-03-29,18949.57,19226.21,18944.82,19120.8
312,2011-03-30,19178.77,19357.1,19178.77,19290.18
313,2011-03-31,19339.75,19575.16,19284.35,19445.22
314,2011-04-01,19463.11,19562.55,19382.35,19420.39
315,2011-04-04,19473.93,19729.6,19449.36,19701.73
316,2011-04-05,19731.38,19770.21,19523.54,19686.82
317,2011-04-06,19698.61,19811.14,19550.55,19612.2
318,2011-04-07,19620.88,19665.09,19537.02,19591.18
319,2011-04-08,19602.81,19697.21,19388.42,19451.45
320,2011-04-11,19382.91,19426.3,19242.59,19262.54
321,2011-04-13,19187.01,19737.33,19101.63,19696.86
322,2011-04-15,19670.07,19700.96,19337.12,19386.82
323,2011-04-18,19389.74,19649.22,19071.47,19091.17
324,2011-04-19,19091.78,19201.92,18976.19,19121.83
325,2011-04-20,19274.21,19484.77,19171.03,19470.98
326,2011-04-21,19582.5,19695.98,19530.5,19602.23
327,2011-04-25,19538.52,19697.49,19531.34,19584.31
328,2011-04-26,19596.32,19626.13,19306.92,19545.35
329,2011-04-27,19610.71,19633.63,19412.79,19448.69
330,2011-04-28,19532.85,19542.05,19265.92,19292.02
331,2011-04-29,19292.57,19356.5,19015.05,19135.96
332,2011-05-02,19224.05,19253.87,18954.76,18998.02
333,2011-05-03,18979.31,19024.95,18502.42,18534.69
334,2011-05-04,18558.33,18604.36,18339.53,18469.36
335,2011-05-05,18484.71,18569.21,18160.65,18210.58
336,2011-05-06,18289.78,18568.48,18271.68,18518.81
337,2011-05-09,18628.63,18643.58,18367.21,18528.96
338,2011-05-10,18564.95,18689.37,18429.06,18512.77
339,2011-05-11,18572.61,18622.44,18454.93,18584.96
340,2011-05-12,18525.32,18610.02,18314.34,18335.79
341,2011-05-13,18362.45,18724.54,18280.7,18531.28
342,2011-05-16,18492.68,18492.68,18319.88,18345.03
343,2011-05-17,18374.45,18435.8,18084.67,18137.35
344,2011-05-18,18177.32,18218.2,18020.79,18086.2
345,2011-05-19,18166.64,18198.45,18057.82,18141.4
346,2011-05-20,18199.96,18429.47,18161.38,18326.09
347,2011-05-23,18269.06,18269.06,17971.02,17993.33
348,2011-05-24,18016.43,18110.39,17933.94,18011.97
349,2011-05-25,17976.36,17976.36,17786.13,17847.24
350,2011-05-26,17917.11,18072.61,17862.88,18044.64
351,2011-05-27,18105.61,18298.64,18087.16,18266.1
352,2011-05-30,18319.74,18380.17,18199.52,18232.06
353,2011-05-31,18266.61,18526.8,18266.61,18503.28
354,2011-06-01,18527.12,18636.12,18514.66,18608.81
355,2011-06-02,18425.85,18540.67,18390.57,18494.18
356,2011-06-03,18554.4,18672.65,18345.85,18376.48
357,2011-06-06,18344.27,18458.63,18258.42,18420.11
358,2011-06-07,18355.3,18545.95,18351.24,18495.62
359,2011-06-08,18448.4,18505.1,18365.94,18394.29
360,2011-06-09,18394.57,18449.64,18327.01,18384.9
361,2011-06-10,18390.41,18399.02,18182.9,18268.54
362,2011-06-13,18242.25,18313.21,18120.76,18266.03
363,2011-06-14,18276.78,18380.19,18261.11,18308.66
364,2011-06-15,18298.59,18308.69,18111.21,18132.24
365,2011-06-16,18060.11,18155.1,17958.94,17985.88
366,2011-06-17,18060.17,18064.76,17844.09,17870.53
367,2011-06-20,17925.17,17925.17,17314.38,17506.63
368,2011-06-21,17574.37,17714.88,17504.27,17560.3
369,2011-06-22,17659.37,17678.86,17492.19,17550.63
370,2011-06-23,17526.92,17754.55,17482.21,17727.49
371,2011-06-24,17804.94,18268.95,17804.94,18240.68
372,2011-06-27,18132.7,18494.11,18132.7,18412.41
373,2011-06-28,18493.59,18527.45,18323.44,18492.45
374,2011-06-29,18552.19,18715.39,18552.19,18693.86
375,2011-06-30,18741.1,18873.39,18723.14,18845.87
376,2011-07-01,18974.96,19031.38,18713.07,18762.8
377,2011-07-04,18896.24,18942.42,18781.88,18814.48
378,2011-07-05,18837.88,18837.88,18694.05,18744.56
379,2011-07-06,18730.29,18823.45,18682.6,18726.97
380,2011-07-07,18776.62,19097.78,18767.25,19078.3
381,2011-07-08,19084.06,19131.7,18817.71,18858.04
382,2011-07-11,18823.19,18843.97,18679.49,18721.39
383,2011-07-12,18534.11,18589.19,18326.42,18411.62
384,2011-07-13,18468.82,18626.41,18465.4,18596.02
385,2011-07-14,18563.69,18803.05,18449.23,18618.2
386,2011-07-15,18694.19,18936.43,18513.22,18561.92
387,2011-07-18,18592.19,18622.56,18469.53,18507.04
388,2011-07-19,18521.38,18690.42,18481.83,18653.87
389,2011-07-20,18756.31,18765.6,18473.9,18502.38
390,2011-07-21,18514.65,18566.99,18415.36,18436.19
391,2011-07-22,18565.04,18747.06,18533.43,18722.3
392,2011-07-25,18753.35,18932.27,18670.84,18871.29
393,2011-07-26,18898.19,18944.6,18481.63,18518.22
394,2011-07-27,18571.15,18578.55,18358.76,18432.25
395,2011-07-28,18300.55,18327.85,18188.88,18209.52
396,2011-07-29,18194.15,18334.27,18131.86,18197.2
397,2011-08-01,18352.23,18440.07,18219.25,18314.33
398,2011-08-02,18283.55,18283.55,18037.87,18109.89
399,2011-08-03,17970.19,18005.76,17859.5,17940.55
400,2011-08-04,17983.86,18032.55,17664.73,17693.18
401,2011-08-05,17350.37,17358.18,16990.91,17305.87
402,2011-08-08,16907.57,17247.87,16759.45,16990.18
403,2011-08-09,16517.87,17135.04,16432.0,16857.91
404,2011-08-10,17244.71,17256.46,17022.25,17130.51
405,2011-08-11,17056.61,17207.82,17012.95,17059.4
406,2011-08-12,17246.88,17246.88,16784.56,16839.63
407,2011-08-16,17015.99,17035.49,16673.52,16730.94
408,2011-08-17,16782.24,17000.38,16708.98,16840.8
409,2011-08-18,16910.27,16916.81,16433.31,16469.79
410,2011-08-19,16237.78,16287.72,15987.77,16141.67
411,2011-08-22,16155.99,16370.46,16046.48,16341.7
412,2011-08-23,16446.85,16549.21,16213.18,16498.47
413,2011-08-24,16490.78,16533.22,16253.78,16284.98
414,2011-08-25,16338.14,16373.84,16104.34,16146.33
415,2011-08-26,16155.55,16256.38,15765.53,15848.83
416,2011-08-29,16080.74,16462.03,16068.73,16416.33
417,2011-08-30,16585.1,16714.7,16443.35,16676.75
418,2011-09-02,16963.67,16989.86,16688.06,16821.46
419,2011-09-05,16678.34,16760.07,16561.46,16713.33
420,2011-09-06,16663.73,16894.73,16488.3,16862.81
421,2011-09-07,16922.31,17157.21,16922.31,17065.0
422,2011-09-08,17118.08,17209.66,16987.37,17165.54
423,2011-09-09,17189.75,17211.8,16830.95,16866.97
424,2011-09-12,16668.25,16668.25,16393.04,16501.74
425,2011-09-13,16618.17,16766.19,16374.68,16467.44
426,2011-09-14,16522.71,16754.22,16387.38,16709.6
427,2011-09-15,16837.76,16922.4,16545.47,16876.54
428,2011-09-16,17047.73,17122.54,16889.58,16933.83
429,2011-09-19,16865.93,16865.93,16709.41,16745.35
430,2011-09-20,16768.63,17135.44,16758.69,17099.28
431,2011-09-21,17128.83,17191.12,17000.61,17065.15
432,2011-09-22,16827.85,16833.61,16316.03,16361.15
433,2011-09-23,16222.37,16368.41,16052.47,16162.06
434,2011-09-26,16209.19,16209.19,15801.01,16051.1
435,2011-09-27,16289.32,16551.65,16282.74,16524.03
436,2011-09-28,16663.26,16663.26,16363.63,16446.02
437,2011-09-29,16387.91,16756.08,16316.66,16698.07
438,2011-09-30,16599.74,16745.16,16404.78,16453.76
439,2011-10-03,16255.97,16255.97,16056.33,16151.45
440,2011-10-04,16081.77,16202.38,15745.43,15864.86
441,2011-10-05,15967.72,16044.91,15760.53,15792.41
442,2011-10-07,16222.49,16347.48,16148.97,16232.54
443,2011-10-10,16270.07,16595.93,16230.77,16557.23
444,2011-10-11,16668.15,16774.12,16510.71,16536.47
445,2011-10-12,16660.43,16987.06,16608.57,16958.39
446,2011-10-13,17048.0,17084.07,16854.03,16883.92
447,2011-10-14,16836.83,17112.45,16828.45,17082.69
448,2011-10-17,17176.05,17188.55,16928.38,17025.09
449,2011-10-18,16817.38,16824.76,16669.04,16748.29
450,2011-10-19,16883.36,17106.99,16874.34,17085.34
451,2011-10-20,16911.85,16962.06,16744.99,16936.89
452,2011-10-21,16975.79,17032.32,16752.21,16785.64
453,2011-10-24,17011.06,17104.88,16898.6,16939.28
454,2011-10-25,17012.79,17322.13,16900.26,17254.86
455,2011-10-26,17336.34,17350.49,17273.52,17288.83
456,2011-10-28,17671.86,17908.13,17671.86,17804.8
457,2011-10-31,17806.21,17813.11,17668.27,17705.01
458,2011-11-01,17540.55,17661.78,17422.47,17480.83
459,2011-11-02,17347.7,17615.92,17337.65,17464.85
460,2011-11-03,17430.69,17527.1,17278.03,17481.93
461,2011-11-04,17674.7,17702.26,17474.39,17562.61
462,2011-11-08,17593.67,17632.23,17455.22,17569.53
463,2011-11-09,17641.98,17658.34,17331.23,17362.1
464,2011-11-11,17187.89,17279.23,17096.84,17192.82
465,2011-11-14,17348.52,17391.99,17094.43,17118.74
466,2011-11-15,17081.62,17172.09,16837.56,16882.67
467,2011-11-16,16872.3,16878.3,16641.65,16775.87
468,2011-11-17,16754.68,16807.15,16408.5,16461.71
469,2011-11-18,16387.7,16396.69,16164.99,16371.51
470,2011-11-21,16297.03,16297.03,15900.3,15946.1
471,2011-11-22,15995.69,16212.95,15970.11,16065.42
472,2011-11-23,15969.6,15969.6,15478.69,15699.97
473,2011-11-24,15715.81,15901.3,15479.97,15858.49
474,2011-11-25,15781.25,15891.05,15645.78,15695.43
475,2011-11-28,15890.8,16186.68,15888.28,16167.13
476,2011-11-29,16210.37,16210.37,15952.54,16008.34
477,2011-11-30,15868.96,16179.56,15849.57,16123.46
478,2011-12-01,16555.93,16718.11,16430.61,16483.45
479,2011-12-02,16493.98,16888.84,16428.66,16846.83
480,2011-12-05,16812.3,16863.1,16691.21,16805.33
